"Now Shopping by","Comprar por"
"Selected layout update is not available","Atualização de layout selecionada não está disponível"
"Sorry, something went wrong during product attributes update. Please see log for details.","Desculpa, algo deu errado durante a atualização dos atributos do produto. Por favor, veja o log para obter detalhes."
"Custom layout update text cannot be changed, only removed","Texto de atualização de layout personalizado não pode ser alterado, somente removido"
"Using restricted HTML elements for ""%1"". %2","Usando elementos HTML restritos para ""%1"" "". %2"
"Make sure the To Date is later than or the same as the From Date.","Certifique-se de que a Data de Término é posterior ou igual a Data de Início."
"Sorry, but we can't find the new parent category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria mãe selecionada."
"Sorry, but we can't find the new category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria selecionada."
"We can't move the category because the parent category name matches the child category name.","Não é possível mover a categoria porque o nome da categoria mãe coincide com o nome de categoria filho."
"Something went wrong while getting the image url.","Algum erro ocorreu ao obter a url da imagem."
"Can't delete root category.","Não é possível excluir a categoria principal."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","O valor do atributo ""%1"" não é único. Defina um valor único e tente novamente."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Ordenação Padrão Produto na Listagem não existe nas Opções Disponíveis para Ordenação do Produto na Listagem."
"No layout updates","Não há atualizações de layout"
"Products only","Somente produtos"
"Static block only","Somente bloco estático"
"Static block and products","Bloco estático e produtos"
"Please select a static block.","Por favor, selecione um bloco estático."
"frontend_label","rótulo_frete_de_loja"
"Not allowed to edit the category's design attributes","Não é permitido editar os atributos de design da categoria"
"Could not save product ""%1"" with position %2 to category %3","Não foi possível gravar o produto ""%1"" com a posição ""%2"" na categoria ""%3"""
"The category doesn't contain the specified product.","A categoria não contém o produto especificado."
"Could not save product ""%product"" with position %position to category %category","Não foi possível gravar o produto ""%product"" com posição %position na categoria %category"
"The category doesn't contain the specified products.","A categoria não contém os produtos especificados."
"Could not save products ""%products"" to category %category","Os produtos ""%products"" não puderam ser salvos na categoria %ccategoria"
"Operation do not allow to move a parent category to any of children category","Operação não permite mover uma categoria mãe para qualquer categoria filho"
"Could not move category","Não é possível mover a categoria"
"Could not save category: %1","Não foi possível salvar a categoria: %1"
"Cannot delete category with id %1","Não é possível excluir a categoria com id %1"
"This customer is not authorized to access this list","Este cliente não está autorizado a acessar esta lista"
"-- Please Select a Category --","--Por Favor, Selecione uma Categoria--"
"Grid Only","Apenas Grade"
"List Only","Apenas Lista"
"Grid (default) / List","Grade (padrão) / Lista"
"List (default) / Grid","Lista (padrão) / Grade"
"Automatic (equalize price ranges)","Automático (equalizar variação de preço)"
"Automatic (equalize product counts)","Automático (equalizar contagens de produto)"
"Manual","Manual"
"Fixed","Fixo"
"Percent","Por cento"
"Discount","Desconto"
"-- Please select --","-- Selecione uma opção --"
"Product Thumbnail Itself","Miniatura de Produto Em Si"
"Parent Product Thumbnail","Miniatura de Produto Mãe"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Ajustar"
"Tile","Lado a Lado"
"Top/Left","Superior/Esquerda"
"Top/Right","Superior/Direita"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Center","Centralizar"
"Image optimization based on query parameters","Otimização de imagem baseada em parâmetros de consulta"
"Unique hash per image variant (Legacy mode)","Hash único por variante da imagem (Modo legado)"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 não se estende a \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Ocorreu algum problema ao salvar o(s) arquivo(s)."
"File validation failed.","Falha na validação do arquivo."
"File can not be saved to the destination folder.","Arquivo não pode ser salvo na pasta de destino."
"Unknown EAV indexer type ""%1"".","Índice EAV tipo ""%1"" desconhecido."
"We can't rebuild the index for an undefined product.","Não é possível recriar o índice para um produto indefinido."
"Bad value was supplied.","Valor fornecido é inválido."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de catálogo Flat tem um limite de %2$d atributos filtráveis e/ou classificáveis. Atualmente existem %1$d. Por favor reduza o número de atributos filtráveis ou classificáveis para utilizar este módulo"
"Unsupported product type ""%1"".","Tipo de produto ""%1"" não suportado."
"Please correct the category.","Por favor, corrija a categoria."
"Must be category model instance or its id.","Deve ser uma instância do model de categoria ou seu id."
"The attribute model is not defined.","O modelo do atributo não foi definido."
"Category","Categoria"
"%1 - %2","%1 - %2"
"The %1 value wasn't found in the algorithms.","O valor %1 não foi encontrado nos algoritmos."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 não se estende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 não se estende a \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","O filtro deve ser um objeto. Por favor, defina o filtro corretamente."
"Clear Price","Limpar Preço"
"%1 and above","%1 e acima"
"The filters are invalid. Set them in an array and try again.","Os filtros são inválidos. Defina eles em uma matriz e tente novamente."
"The product wasn't registered.","Produto não foi registrado."
"The store wasn't registered. Verify the store and try again.","Esta loja não estava registrada. Verifique a loja e tente novamente."
"Group price must be a number greater than 0.","Preço do grupo deve ser um número maior que 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Conversor de Galeria de Mídia deve ser uma instância de EntryConverterinterface."
"There is no MediaGalleryEntryConverter for given type","Não existe MediaGalleryEntryConverter para tipo selecionado"
"Please enter a number 0 or greater in this field.","Por favor, insira um número maior ou igual a 0 neste campo."
"The ""%1"" attribute value is empty. Set the attribute and try again.","O valor do atributo ""%1"" está vazio. Defina o atributo e tente novamente."
"SKU length should be %1 characters maximum.","Tamanho do SKU deve ter, no máximo, %1 caracteres."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Tier prices data should be array, but actually other type is received","Dados de faixas de preço devem ser um array, mas na realidade outro tipo foi recebido"
"We found a duplicate website, tier price, customer group and quantity.","Encontramos um website, preço de camada, grupo de clientes e quantidade duplicados."
"Percentage value must be a number between 0 and 100.","O valor percentual deve ser um número entre 0 e 100."
"Invalid option id %1","Opção inválida id %1"
"The attribute set couldn't be created because it's based on a non-product attribute set.","O atributo definido não pôde ser criado porque é baseado em um conjunto de atributos de um não-produto."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","O atributo definido não pôde ser criado porque é baseado em um conjunto de atributos inexistente."
"Provided Attribute set non product Attribute set.","O conjunto de atributos indicado não é um conjunto de atributos de produto."
"Use config","Usar o config"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Attribute Set already exists.","O Conjunto de Atributos já existe."
"Not allowed to edit the product's design attributes","Não é permitido editar atributos de design do produto"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Não é possível copiar o arquivo %1. Por favor, excluir a mídia com imagens inexistentes e tente novamente."
"The image content is invalid. Verify the content and try again.","O conteúdo da imagem é inválido. Verifique-o e tente novamente."
"The product can't be saved.","O produto não pode ser salvo."
"The new media gallery entry failed to save.","A nova entrada de galeria de mídia falhou ao salvar."
